Funding Source,Genre,Amount
Australian Government Sources,Action/Adventure,21.904
Australian Government Sources,Comedy,54.76
Australian Government Sources,Crime,16.428
Australian Government Sources,Drama,191.66
Australian Government Sources,Family,32.856
Australian Government Sources,Horror,21.904
Australian Government Sources,Musical,5.476
Australian Government Sources,Mystery,10.952
Australian Government Sources,Romantic comedy,27.38
Australian Government Sources,Sci-fi,10.952
Australian Government Sources,Thriller,65.712
Australian Government Sources,Western,5.476
Australian Private Investors,Action/Adventure,15.726
Australian Private Investors,Comedy,26.21
Australian Private Investors,Crime,5.242
Australian Private Investors,Drama,76.009
Australian Private Investors,Family,15.726
Australian Private Investors,Horror,18.347
Australian Private Investors,Musical,2.621
Australian Private Investors,Mystery,5.242
Australian Private Investors,Romantic comedy,13.105
Australian Private Investors,Sci-fi,10.484
Australian Private Investors,Thriller,41.936
Australian Private Investors,Western,2.621
Producer Offset,Action/Adventure,103.266
Producer Offset,Comedy,172.11
Producer Offset,Crime,34.422
Producer Offset,Drama,499.119
Producer Offset,Family,103.266
Producer Offset,Horror,120.477
Producer Offset,Musical,17.211
Producer Offset,Mystery,34.422
Producer Offset,Romantic comedy,86.055
Producer Offset,Sci-fi,68.844
Producer Offset,Thriller,275.376
Producer Offset,Western,17.211
Australian Screen Industry,Action/Adventure,33.576
Australian Screen Industry,Comedy,55.96
Australian Screen Industry,Crime,11.192
Australian Screen Industry,Drama,162.284
Australian Screen Industry,Family,33.576
Australian Screen Industry,Horror,39.172
Australian Screen Industry,Musical,5.596
Australian Screen Industry,Mystery,11.192
Australian Screen Industry,Romantic comedy,27.98
Australian Screen Industry,Sci-fi,22.384
Australian Screen Industry,Thriller,89.536
Australian Screen Industry,Western,5.596
Foreign Investors,Action/Adventure,139.986
Foreign Investors,Comedy,233.31
Foreign Investors,Crime,46.662
Foreign Investors,Drama,676.599
Foreign Investors,Family,139.986
Foreign Investors,Horror,163.317
Foreign Investors,Musical,23.331
Foreign Investors,Mystery,46.662
Foreign Investors,Romantic comedy,116.655
Foreign Investors,Sci-fi,93.324
Foreign Investors,Thriller,373.296
Foreign Investors,Western,23.331
