Funding Source,Genre,Amount
Australian Government Sources,Action/Adventure,21.90
Australian Government Sources,Comedy/Romantic Comedy,82.14
Australian Government Sources,Crime/Mystery,27.38
Australian Government Sources,Drama,191.66
Australian Government Sources,Family/Musical,38.33
Australian Government Sources,Horror/Thriller,87.62
Australian Government Sources,Sci-fi/Western,16.43
Australian Private Investors,Action/Adventure,15.73
Australian Private Investors,Comedy/Romantic Comedy,39.32
Australian Private Investors,Crime/Mystery,10.48
Australian Private Investors,Drama,76.01
Australian Private Investors,Family/Musical,18.35
Australian Private Investors,Horror/Thriller,60.28
Australian Private Investors,Sci-fi/Western,13.11
Producer Offset,Action/Adventure,103.27
Producer Offset,Comedy/Romantic Comedy,258.17
Producer Offset,Crime/Mystery,68.84
Producer Offset,Drama,499.12
Producer Offset,Family/Musical,120.48
Producer Offset,Horror/Thriller,395.85
Producer Offset,Sci-fi/Western,86.06
Australian Screen Industry,Action/Adventure,33.58
Australian Screen Industry,Comedy/Romantic Comedy,83.94
Australian Screen Industry,Crime/Mystery,22.38
Australian Screen Industry,Drama,162.28
Australian Screen Industry,Family/Musical,39.17
Australian Screen Industry,Horror/Thriller,128.71
Australian Screen Industry,Sci-fi/Western,27.98
Foreign Investors,Action/Adventure,139.99
Foreign Investors,Comedy/Romantic Comedy,349.97
Foreign Investors,Crime/Mystery,93.32
Foreign Investors,Drama,676.60
Foreign Investors,Family/Musical,163.32
Foreign Investors,Horror/Thriller,536.61
Foreign Investors,Sci-fi/Western,116.66
Action/Adventure,Action/Adventure,0.00
Comedy/Romantic Comedy,Comedy/Romantic Comedy,0.00
Crime/Mystery,Crime/Mystery,0.00
Drama,Drama,0.00
Family/Musical,Family/Musical,0.00
Horror/Thriller,Horror/Thriller,0.00
Sci-fi/Western,Sci-fi/Western,0.00
